,price_mean,price_std,price_min,price_max,price_last,price_change_1m,volatility_1m,price_change_3m,volatility_3m,price_change_5m,volatility_5m,price_change_10m,volatility_10m,price_change_15m,volatility_15m,price_trend_slope,price_trend_r2,price_acceleration,volume_total,volume_mean,volume_std,volume_1m,trades_count_1m,buy_sell_ratio_1m,volume_3m,trades_count_3m,buy_sell_ratio_3m,volume_5m,trades_count_5m,buy_sell_ratio_5m,volume_10m,trades_count_10m,buy_sell_ratio_10m,volume_15m,trades_count_15m,buy_sell_ratio_15m,volume_trend_slope,volume_trend_r2,liquidity,holder_count,market_count,unique_wallets_24h,trades_24h,data_points_count,trades_count
volatility_5m,-0.20093784927755065,0.6179824515967774,-0.2492421592825748,0.2946342040626058,0.2946342040626058,,,0.8607134431907247,0.9943293035768869,0.9400551288835898,1.0,0.9655350173990352,0.9979097740463398,0.9020762665851564,0.9962602467340417,0.4500008045813951,-0.55570125093717,0.9601126050206351,-0.3921605643209831,-0.3921605643209826,-0.4282881865453909,-0.24300913593569054,,,-0.3456005065516004,,-0.07722280130147527,-0.33508304014746215,,-0.23329151839770873,-0.3921605643209831,,-0.17979489023494305,-0.3921605643209831,,-0.17979489023494305,-0.25007824669440454,0.19046784076319237,-0.4331674841516476,-0.6383572037547219,-0.19071926528502348,-0.17745085417421974,-0.12740497437887782,0.0238196152524746,
price_change_10m,-0.2000313680805496,0.46354026555560496,-0.2364900918612354,0.19689789648255052,0.19689789648255052,,,0.724084830128674,0.9467722356955631,0.8431599706322027,0.9655350173990352,1.0,0.9724803866770797,0.9811954819174026,0.9766109688083628,0.31803996474893786,-0.5305913226067499,0.8785870067372519,-0.38622251241627453,-0.3862225124162743,-0.42420518791948936,-0.23020981715336433,,,-0.3445224092261188,,-0.09089091004283022,-0.3337798784720046,,-0.288092046098254,-0.38622251241627453,,-0.11378939906783898,-0.38622251241627453,,-0.11378939906783898,-0.249066729861274,0.0947223595428762,-0.45469219380285686,-0.6437601161752651,-0.20936139797731151,-0.20163825699986765,-0.1518930855540666,0.026105789308089964,
volatility_10m,-0.21125111449206588,0.6031319073918661,-0.25951234555930736,0.27682388996767,0.27682388996767,,,0.8450444709073297,0.9879884124164666,0.92973826448943,0.9979097740463398,0.9724803866770797,1.0,0.9146910440480589,0.9993967918621974,0.4405828806243061,-0.5294074231862335,0.9518360389034545,-0.3999308220363148,-0.3999308220363144,-0.4369085097117164,-0.2491439362632263,,,-0.35084120944327396,,-0.08289197712334319,-0.34078436051461913,,-0.23689196500052054,-0.3999308220363148,,-0.1584566276986887,-0.3999308220363148,,-0.1584566276986887,-0.25049070664988843,0.17381812026991186,-0.4283068276823646,-0.6361172428892475,-0.19667842591974827,-0.18222333134777827,-0.1331298909122513,0.023665614269183847,
price_change_15m,-0.20527580317161712,0.31789919003702216,-0.23189587594121414,0.0974518242252889,0.0974518242252889,,,0.5774074350081315,0.8731898713558556,0.7235771316573554,0.9020762665851564,0.9811954819174026,0.9146910440480589,1.0,0.9224292443400252,0.2004198136380931,-0.49648091664987337,0.7699283557758737,-0.3780476116275237,-0.3780476116275233,-0.4154072617672876,-0.22525920978214892,,,-0.3377346460131332,,-0.0904443595347011,-0.3272427003294099,,-0.3285855973902235,-0.3780476116275237,,-0.07775510897878864,-0.3780476116275237,,-0.07775510897878864,-0.2449362843123657,0.027761583406948474,-0.44302174991386395,-0.6226118345774869,-0.20496353041309298,-0.19615433427410942,-0.14792477352240532,0.02276471399708672,
volatility_15m,-0.21752118156232292,0.5880620901006088,-0.2648587167742591,0.2638748385226504,0.2638748385226504,,,0.8353000203181948,0.9855613365097802,0.9232862730075886,0.9962602467340417,0.9766109688083628,0.9993967918621974,0.9224292443400252,1.0,0.42604405847441373,-0.5142395035470518,0.9466502065130145,-0.40533067000110085,-0.4053306700011004,-0.44304097500578715,-0.24912188669175528,,,-0.3571993218535354,,-0.09130656474718492,-0.3472479588504155,,-0.24473782267595295,-0.40533067000110085,,-0.1471715561324998,-0.40533067000110085,,-0.1471715561324998,-0.25525907803916525,0.1666998840947805,-0.42742160688740805,-0.6350118201446014,-0.20452263659289036,-0.18634279442798482,-0.13516265309533781,0.018189090764218742,
price_trend_slope,0.5191155211471311,0.9530637260693511,0.4454077260664275,0.8778737252229807,0.8778737252229807,,,0.6246506703667823,0.43827769055839977,0.575632315219419,0.4500008045813951,0.31803996474893786,0.4405828806243061,0.2004198136380931,0.42604405847441373,1.0,-0.3211484578571842,0.5521384275770951,0.34251507168289674,0.3425150716828975,0.33951468897951437,0.37976742430048327,,,0.4304280130303145,,-0.08005893183844535,0.3582738558605604,,0.5224459248577609,0.34251507168289674,,-0.005672048275284082,0.34251507168289674,,-0.005672048275284082,0.43854304463862653,0.16383544798260619,-0.44619943916365173,-0.306913854141371,-0.013585846288400063,-0.20027085653506613,-0.14832907638245046,0.02569910582266847,
price_trend_r2,-0.10142157498621919,-0.40553592527159876,-0.08166325061654049,-0.3318962512614736,-0.3318962512614736,,,-0.4633154700102926,-0.5604972747361354,-0.5095065001089913,-0.55570125093717,-0.5305913226067499,-0.5294074231862335,-0.49648091664987337,-0.5142395035470518,-0.3211484578571842,1.0,-0.5215203483634427,-0.0026929900182613275,-0.0026929900182615,-0.004021771577975848,0.10221215408448292,,,-0.008039800086645104,,-0.21753970299772968,-0.0397455138659845,,0.13636758969730217,-0.0026929900182613275,,0.18633557294119357,-0.0026929900182613275,,0.18633557294119357,0.003876700102522125,0.03805943897546515,0.3732238270120341,0.49084076261874166,-0.011174044278844136,0.04750884056268316,0.09520103203686937,-0.07472132046159101,
price_acceleration,-0.15463122802479273,0.7437124002680225,-0.20904056337085442,0.4083146953003357,0.4083146953003357,,,0.9655616032105009,0.9699756636284979,0.9975656609462461,0.9601126050206351,0.8785870067372519,0.9518360389034545,0.7699283557758737,0.9466502065130145,0.5521384275770951,-0.5215203483634427,1.0,-0.34391589095524167,-0.34391589095524144,-0.3776037225745918,-0.20346882862450502,,,-0.3063488346532859,,-0.07979070375677762,-0.2967840202070095,,-0.1406815891995895,-0.34391589095524167,,-0.1820562720353909,-0.34391589095524167,,-0.1820562720353909,-0.2199962131416037,0.24318757659999266,-0.4060205208584812,-0.5867182055551493,-0.1868249545714496,-0.18204799538048866,-0.136015628184082,0.02387962820284202,
volume_total,0.8116977034436227,0.15842072105134622,0.8137431312649037,0.5565524268678907,0.5565524268678907,,,-0.286917893808658,-0.4009505132641456,-0.3310126535479339,-0.3921605643209831,-0.38622251241627453,-0.3999308220363148,-0.3780476116275237,-0.40533067000110085,0.34251507168289674,-0.0026929900182613275,-0.34391589095524167,1.0,1.0000000000000009,0.9779001761177318,0.72906337487729,,,0.9033270293293708,,-0.08576311784498672,0.9584293725350781,,0.6926512321832706,1.0,,0.26885967624021856,1.0,,0.26885967624021856,0.7967374451549878,-0.14948684803836773,-0.2870659754181489,0.09317668160731532,0.06960394499016766,-0.17054240866617001,-0.1298627141264806,0.025157578679037434,
volume_mean,0.8116977034436224,0.1584207210513462,0.8137431312649038,0.5565524268678902,0.5565524268678902,,,-0.286917893808658,-0.40095051326414555,-0.3310126535479335,-0.3921605643209826,-0.3862225124162743,-0.3999308220363144,-0.3780476116275233,-0.4053306700011004,0.3425150716828975,-0.0026929900182615,-0.34391589095524144,1.0000000000000009,1.0,0.977900176117732,0.72906337487729,,,0.9033270293293716,,-0.08576311784498691,0.9584293725350785,,0.6926512321832701,1.000000000000001,,0.26885967624021917,1.000000000000001,,0.26885967624021917,0.7967374451549879,-0.1494868480383677,-0.28706597541814893,0.09317668160731513,0.06960394499016762,-0.17054240866617026,-0.12986271412648054,0.025157578679037357,
