,count,mean,std,min,25%,50%,75%,max,correlation_with_target
max_trade_size_1m,7319.0,23876295774275.81,494837479916306.94,10000.0,4658563310.0,100000000000.0,648806087344.0,3.925369667794766e+16,-0.011277469745375428
buy_sell_ratio_1m,7319.0,inf,,0.0,0.0,0.0005803706083440017,0.3650345566046919,inf,
buy_sell_imbalance_1m,7319.0,-0.5117831208139371,0.8253993661697814,-1.0,-1.0,-0.9988399320526523,-0.46516437281608786,1.0,-0.0531558602150066
large_trade_ratio_1m,7319.0,0.11726350420844203,0.2642963973782967,0.0,0.0,0.0,0.1,1.0,-0.03246333813374788
volume_momentum_1m,3505.0,17753.646222005347,106323.73575353037,-0.9991494882514214,0.6488901580827359,22.73842056544749,629.11297789156,1348534.1606517835,-0.038255441624838155
volume_momentum_std_1m,2872.0,46092.898653981116,243971.75702808306,1.0268720209906739e-06,7.533013331637634,87.36201279086508,1227.6293042252635,2622661.008961255,-0.04331096598350842
volume_acceleration_1m,2872.0,7211.166086863544,67422.42848551169,-7241.269075406212,-0.42993128661850744,0.019366504732827458,3.00393895295835,945689.655171295,-0.019090455682131052
volume_3m,7319.0,27520362635829.22,500464922587080.2,20031.0,22043646005.0,232942306806.0,1018549259473.0,3.925369667794766e+16,-0.011552810775151382
trades_count_3m,7319.0,4.565377783850253,3.8533954235230485,1.0,1.0,2.0,10.0,10.0,0.025418906607777705
avg_trade_size_3m,7319.0,23337388652026.78,495713969135561.2,6677.0,5029002333.6,54636558190.5,648806087344.0,3.925369667794766e+16,-0.01096598543822681
max_trade_size_3m,7319.0,25832979555168.69,499246725979699.1,10000.0,13860739886.0,150000000000.0,839478700000.0,3.925369667794766e+16,-0.011315806676116542
buy_sell_ratio_3m,7319.0,inf,,0.0,0.0,0.0008246143453215914,0.06072330275608933,inf,
buy_sell_imbalance_3m,7319.0,-0.6040890997412026,0.7512339938470097,-1.0,-1.0,-0.9983521301664607,-0.8855058569971805,1.0,-0.04777654498788937
large_trade_ratio_3m,7319.0,0.11420514555505674,0.22310162373821818,0.0,0.0,0.0,0.1,1.0,-0.027724545042365215
volume_momentum_3m,4554.0,84276.83375184018,760465.085967899,-0.9999999947963102,0.5848422526267282,15.815265930828398,384.48546211485944,8102779.002318785,0.09699217489224012
volume_momentum_std_3m,3622.0,305595.1841241635,2545882.3365106834,0.0,8.598326720768746,87.83347379064757,1585.6670304519794,24306045.1574201,0.10987792633569549
volume_acceleration_3m,3622.0,5385.458715740796,60231.340347511985,-26617.479642319628,-0.22107775914799038,0.16669577167921842,8.447835511720868,945689.655171295,-0.016832610333820348
volume_5m,7319.0,27802738150088.5,500468743421640.3,20031.0,39491576051.0,295268644784.0,1534881219447.0,3.925369667794766e+16,-0.011699188270664074
trades_count_5m,7319.0,5.08293482716218,3.971142464498274,1.0,1.0,4.0,10.0,10.0,0.01679774469412636
avg_trade_size_5m,7319.0,23360328493811.297,495712601537200.8,6677.0,5585971240.8,70288065334.5,733256014350.1666,3.925369667794766e+16,-0.011003184076635428
max_trade_size_5m,7319.0,25936531769314.242,499241836821838.06,10000.0,23595113278.0,181930750748.0,1095191478025.0,3.925369667794766e+16,-0.01140021252164114
buy_sell_ratio_5m,7319.0,inf,,0.0,0.0,0.0010623912132389584,0.05043368634051565,inf,
buy_sell_imbalance_5m,7319.0,-0.6342570886403627,0.7268771136592456,-1.0,-1.0,-0.9978774725280581,-0.9039754969850297,1.0,-0.027445327987128697
large_trade_ratio_5m,7319.0,0.11802429857492025,0.21335263384013226,0.0,0.0,0.1,0.1,1.0,-0.04753781719936194
volume_momentum_5m,4815.0,79771.67848629516,739802.1070262794,-0.9999999947963102,1.7117978094222335,26.875307444249515,477.21431028892465,8102779.002318785,0.09687668673114812
volume_momentum_std_5m,4082.0,271423.64235553454,2400029.059945552,0.0,8.598326720768746,91.27042028885484,1238.9185078307494,24306045.1574201,0.10959055781508725
volume_acceleration_5m,4082.0,4829.101313898085,56717.200313903064,-23005.552785200765,-0.6765005095322321,0.023365119240120802,2.4815517692109665,945689.655171295,-0.01597693374653678
volume_10m,7319.0,28096868797772.04,500456345681988.0,20031.0,81508325585.0,389917398925.0,2227848029049.0,3.925369667794766e+16,-0.011846052552706578
trades_count_10m,7319.0,6.009564148107665,3.991164923424398,1.0,2.0,8.0,10.0,10.0,0.01027590853170717
avg_trade_size_10m,7319.0,21415253435668.992,493825993237888.1,6677.0,12479982461.2,78157143000.75,765360398424.0,3.925369667794766e+16,-0.010137212381886843
max_trade_size_10m,7319.0,26095889826804.625,499234706484537.75,10000.0,39623139087.0,230926925698.0,1534881219447.0,3.925369667794766e+16,-0.011498933434420985
buy_sell_ratio_10m,7319.0,inf,,0.0,0.0,0.0012548161260992606,0.03233733304817874,inf,
buy_sell_imbalance_10m,7319.0,-0.7211314916674653,0.6410073621880977,-1.0,-1.0,-0.997493512928199,-0.9373512576533813,1.0,-0.021747762856947763
large_trade_ratio_10m,7319.0,0.11973044717272072,0.1983289324150761,0.0,0.0,0.1,0.1,1.0,-0.06414180417673093
volume_momentum_10m,5556.0,336089.9569480088,4051534.789514221,-0.999367943671358,2.4829664560965625,35.36481028607661,528.6157914415134,131815176.57349488,0.004297645923800659
volume_momentum_std_10m,4649.0,400431.59034488717,5904868.920506735,0.03296721391473329,15.494011525889212,238.66942097395867,1585.6670304519794,186414811.8510543,0.04000963056252433
volume_acceleration_10m,4649.0,-224756.63648480317,7730723.8550966475,-263630355.14698976,-0.6122013712259602,0.04319081010713527,2.4815517692109665,945689.655171295,-0.00017419939987055587
volume_15m,7319.0,28290082651606.527,500947031070304.1,20031.0,107068109946.0,467727573178.0,2362307954068.0,3.925369667794766e+16,-0.011876405017150137
trades_count_15m,7319.0,6.479846973630277,3.9328675338254837,1.0,2.0,10.0,10.0,10.0,0.041087083055759095
avg_trade_size_15m,7319.0,20726241838627.27,487845809704678.5,6677.0,17341889284.7,100000000000.0,765360398424.0,3.925369667794766e+16,-0.010145175101877235
max_trade_size_15m,7319.0,26169528279406.77,499231394382770.4,10000.0,66709854940.0,304534393655.0,1578649257488.0,3.925369667794766e+16,-0.01149554125490584
buy_sell_ratio_15m,7319.0,inf,,0.0,0.0,0.0013619548420222107,0.02750303131675351,inf,
buy_sell_imbalance_15m,7319.0,-0.7306247880531171,0.6348883034233763,-1.0,-1.0,-0.9972797951121738,-0.9464662770259507,1.0,-0.020914325961581676
large_trade_ratio_15m,7319.0,0.11089147185950027,0.16246757570114223,0.0,0.0,0.1,0.1,1.0,-0.038352629996459844
volume_momentum_15m,5743.0,294860.0992740329,3029567.7163828653,-0.9999914684167915,3.2533502311150513,41.532255023280875,581.4838856,87876784.10880709,0.0062448616911944975
volume_momentum_std_15m,5182.0,333552.5148763855,4729698.013967295,0.022717111698666786,9.202332133606014,123.79634135763467,1773.119723819737,152207056.45887378,0.04248209548517307
volume_acceleration_15m,5182.0,1161.622127574911,53622.141159236984,-129874.72416105263,-0.9919777092029579,0.0016312563974844596,1.9802030311877417,945689.655171295,0.023894801901035427
volume_trend_slope,7319.0,10941769331444.744,171242294560596.2,-260847021517636.84,-13441247755.630255,-14545575.224242412,40481203461.37574,2403855701111346.0,-0.02148841721108224
volume_trend_r2,7319.0,0.1415240870723918,0.1477855270214207,2.2161064749076938e-08,0.02933368402914616,0.09118030607677172,0.20526996754304191,0.8021830219747621,0.05316917289660608
volume_trend_strength,7319.0,0.10619134533208235,0.06452099101379034,4.9168798031940525e-05,0.056568852289545224,0.09973435958135184,0.14964320020746621,0.29582237089936164,0.02986922379800513
